"Polski","English"
"PL","EN"
"Zmień język","Change language"
"Wybierz plik z tracklistą","Select the tracklist file"
"Wybierz prawidłowy plik!","Select the correct file!"
"Plik txt (*.txt)","Txt file (*.txt)"
"Wszystkie pliki (*)", "All files (*)"
"Kod źródłowy programu","Program source code"
"Skończone! Zajęło mi to: {} sekund!","Finished! It took me: {} seconds!"
"Taguję","Tagging"
"Start","Start"
"Postęp","Progress"
"Zamknij","Close"
"Brak okładki albumu","Album cover missing"
"W folderze nie odnaleziono pliku .png, .jpg lub .jpeg","No .png, .jpg or .jpeg file found in the folder"
"Brak plików muzycznych","No music files"
"W folderze nie odnaleziono plików .mp3 lub .flac","No .mp3 or .flac files found in folder"
"Zła liczba plików muzycznych lub tytułów","Wrong number of music files or titles"
"Liczba plików muzycznych jest różna od tytułów w pliku .txt","The number of music files is different from the titles in the .txt file"
"Plik .txt powinien zawierać:","The .txt file should contain:"
"Folder powinien zawierać:","The folder should contain:"
